id,F,ka,V,Cl
1,0.411972,0.562631,45.3588,3.70237
2,0.698098,0.526599,61.86369999999999,5.37563
3,0.507996,0.477903,89.14319999999996,8.307399999999999
4,0.759051,0.499601,55.14880000000001,6.51776
5,0.602166,0.439939,75.70490000000001,7.28075
6,0.545563,0.430782,82.349,10.4826
7,0.532255,0.795587,45.75769999999999,3.71594
8,0.735989,0.971018,43.4371,3.02406
9,0.6633079999999999,0.382374,69.62869999999998,6.80999
10,0.453593,0.624076,50.0376,3.72328
11,0.5923470000000001,0.283654,68.33730000000003,8.702680000000001
12,0.5227039999999999,0.474465,53.4654,4.717100000000001
13,0.74139,0.493864,63.48080000000002,4.99504
14,0.649309,0.535906,66.51920000000003,5.598870000000001
15,0.5875280000000001,0.380655,90.44110000000001,11.1107
16,0.718337,0.505736,64.68679999999999,4.78011
17,0.5391319999999999,0.444663,65.90109999999999,6.35929
18,0.6650700000000001,0.767018,52.66040000000001,5.326179999999999
19,0.548628,0.55125,49.3006,4.24557
20,0.670623,0.386124,102.607,11.5739
21,0.686178,0.487498,64.72540000000001,7.061160000000001
22,0.7405389999999999,0.298675,73.5252,11.3145
23,0.839793,0.6432020000000001,53.9195,5.19434
24,0.537737,0.409133,78.05159999999999,7.423210000000001
25,0.845985,0.330401,71.67199999999998,11.3219
26,0.499574,0.548088,46.3246,4.89854
27,0.756927,0.4751,97.07720000000002,11.5647
28,0.715957,0.609145,51.8281,6.564470000000001
29,0.7566659999999999,0.392812,64.5262,6.91007
30,0.708969,0.38535,59.03249999999999,7.84496
31,0.47935,0.39317,88.7458,7.472729999999999
32,0.5248179999999999,0.552122,62.49829999999999,5.13977
33,0.69963,0.568617,57.87820000000001,5.29159
34,0.429488,0.710237,51.40019999999998,4.49265
35,0.638158,0.52672,46.75,5.946790000000001
36,0.7526659999999999,0.3208220000000001,67.53700000000001,6.08084
37,0.874433,0.333392,62.12639999999999,7.400070000000002
38,0.792641,0.500857,53.09759999999999,4.08054
39,0.678379,0.379921,54.1847,8.27087
40,0.541814,0.287024,76.48560000000003,10.0991
41,0.7619049999999999,0.5527,81.7448,7.8569
42,0.623318,0.391875,60.71790000000001,6.563130000000001
43,0.534976,0.533785,51.04579999999999,3.45176
44,0.585964,0.585188,76.56160000000003,5.82133
45,0.634755,0.815899,55.86829999999998,3.01366
46,0.5603259999999999,0.956093,38.9862,4.329699999999999
47,0.681978,0.464757,64.21050000000001,6.77015
48,0.815277,0.39605,46.80310000000001,7.759699999999999
49,0.536605,0.463485,61.8963,4.38568
50,0.484272,1.1096,47.1191,2.45353
51,0.698043,0.582296,40.60070000000001,5.11153
52,0.68158,0.51453,66.66450000000002,7.97781
53,0.753203,0.681192,46.7977,4.374480000000001
54,0.7837750000000001,0.422682,72.02920000000003,7.3118
55,0.8431149999999999,0.549763,76.3771,8.41574
56,0.706029,0.589328,81.38459999999999,7.246709999999999
57,0.3552580000000001,0.621438,66.1138,6.00641
58,0.328429,0.399209,57.81139999999998,4.873210000000001
59,0.729887,0.555382,86.02569999999997,10.4094
60,0.780298,0.415516,58.82399999999998,7.50081
61,0.699495,0.477666,74.8451,10.6117
62,0.686434,0.281845,133.448,15.0472
63,0.611671,0.42589,69.5945,6.334689999999999
64,0.582964,0.516754,53.41180000000001,4.781159999999999
